PLAYER NAME,TEAM,POS,Speed (MPH),Wk,Play Type
Tyrell Williams,LAC,WR,20.7,7,75 yd reception TD
Raheem Mostert,SF,RB,20.66,7,11 yd rush
Kenyan Drake,MIA,RB,20.6,7,54 yd rush TD
Wendell Smallwood,PHI,RB,20.52,7,7 yd reception *
Marvin Hall,ATL,WR,20.43,7,47 yd reception TD
Darius Jennings,TEN,WR,20.39,7,37 yd kickoff ret *
Adrian Peterson,WAS,RB,20.29,7,23 yd rush
Andre Roberts,NYJ,WR,20.17,7,53 yd kickoff ret
Adam Thielen,MIN,WR,20.03,7,34 yd reception TD
Matt Breida,SF,RB,20,7,7 yd rush
Phillip Lindsay,DEN,RB,19.98,7,22 yd rush
Marlon Mack,IND,RB,19.94,7,29 yd reception TD
Ron Parker,KC,FS,19.92,7,33 yd int TD
Latavius Murray,MIN,RB,19.84,7,38 yd rush TD
Devin McCourty,NE,FS,22.05,8,84 yd int TD
Tarik Cohen,CHI,RB,21.42,8,70 yd reception TD
Marlon Mack,IND,RB,21.35,8,49 yd rush
Shawn Williams,CIN,SS,21.33,8,29 yd int
DeSean Jackson,TB,WR,21.19,8,60 yd reception TD
Will Fuller,HOU,WR,21.15,8,73 yd reception TD
Jakeem Grant,MIA,WR,21.07,8,21 yd punt ret
Jordan Franks,CIN,HB,20.76,8,32 yd reception
Marquise Goodwin,SF,WR,20.74,8,55 yd reception TD
Phillip Lindsay,DEN,RB,20.58,8,14 yd rush
Will Fuller,HOU,WR,20.39,8,34 yd reception
Adrian Peterson,WAS,RB,20.37,8,64 yd rush TD *
Lamar Miller,HOU,RB,20.35,8,58 yd rush
Odell Beckham,NYG,WR,20.31,8,44 yd reception
Kendall Fuller,KC,CB,20.15,8,0 yd int
Cordarrelle Patterson,NE,WR,20.09,8,22 yd rush
Marquez Valdes-Scantling,GB,WR,19.94,8,40 yd reception TD
T.Y. Hilton,IND,WR,19.84,8,34 yd reception
Mike Evans,TB,WR,19.84,8,72 yd reception TD
Tim Patrick,DEN,WR,19.8,8,13 yd rush
Dalvin Cook,MIN,RB,22.07,9,70 yd rush
Tevin Coleman,ATL,RB,21.48,9,3 yd rush *
Tyreek Hill,KC,WR,21.38,9,12 yd rush
Marquez Valdes-Scantling,GB,WR,21.13,9,51 yd reception
Richie James,SF,WR,21.11,9,53 yd reception
Calvin Ridley,ATL,WR,20.97,9,40 yd reception TD
Raheem Mostert,SF,RB,20.93,9,52 yd rush TD
Phillip Lindsay,DEN,RB,20.56,9,22 yd rush
Curtis Samuel,CAR,WR,20.45,9,33 yd rush TD
Desmond King,LAC,CB,20.41,9,42 yd int TD
Martavis Bryant,OAK,WR,20.37,9,17 yd rush
Tarik Cohen,CHI,RB,20.29,9,7 yd rush
Marcus Mariota,TEN,QB,20.23,9,6 yd rush
Tarik Cohen,CHI,RB,20.19,9,36 yd punt ret
Michael Thomas,NO,WR,20.17,9,72 yd reception TD *
Melvin Gordon,LAC,RB,20.15,9,34 yd rush TD
Darius Jennings,TEN,WR,20.11,9,36 yd reception
Tevin Coleman,ATL,RB,20.03,9,39 yd reception TD
George Kittle,SF,TE,20,9,71 yd reception
Todd Gurley,LAR,RB,19.98,9,8 yd rush TD
Robert Foster,BUF,WR,21.48,10,47 yd reception
Aaron Jones,GB,RB,21.33,10,67 yd rush
Tyreek Hill,KC,WR,21.07,10,20 yd rush
Darius Jennings,TEN,WR,21.05,10,58 yd kickoff ret
Jeff Driskel,CIN,QB,21.03,10,27 yd rush TD
Brandin Cooks,LAR,WR,20.8,10,9 yd rush TD
Jordan Wilkins,IND,RB,20.78,10,53 yd rush
Nelson Agholor,PHI,WR,20.76,10,51 yd reception
Nick Chubb,CLE,RB,20.68,10,92 yd rush TD
Robert Foster,BUF,WR,20.64,10,43 yd reception
Melvin Gordon,LAC,RB,20.6,10,66 yd reception TD
Andre Roberts,NYJ,WR,20.52,10,35 yd kickoff ret
Tyreek Hill,KC,WR,20.48,10,16 yd reception
Johnny Townsend,OAK,P,20.48,10,42 yd rush
David Fluellen,TEN,RB,20.43,10,13 yd rush
Cordarrelle Patterson,NE,WR,20.41,10,23 yd kickoff ret
LeSean McCoy,BUF,RB,20.23,10,28 yd rush TD
John Ross,CIN,WR,20.23,10,37 yd reception
Donte Moncrief,JAX,WR,20.21,10,80 yd reception TD
Tarik Cohen,CHI,RB,20.19,10,2 yd reception
Christian Kirk,ARI,WR,20.99,11,59 yd reception TD
T.Y. Hilton,IND,WR,20.86,11,68 yd reception TD
Justin Reid,HOU,DB,20.68,11,101 yd int TD
David Johnson,ARI,RB,20.64,11,53 yd rush
Davante Adams,GB,WR,20.58,11,57 yd reception
Julio Jones,ATL,WR,20.56,11,34 yd reception TD
David Johnson,ARI,RB,20.43,11,7 yd rush *
Phillip Lindsay,DEN,RB,20.41,11,41 yd rush TD
Tyler Lockett,SEA,WR,20.39,11,34 yd reception
Trevor Davis,GB,WR,20.35,11,20 yd kickoff ret *
Colt McCoy,WAS,QB,20.31,11,15 yd rush
Odell Beckham,NYG,WR,20.25,11,41 yd reception
Tyreek Hill,KC,WR,20.21,11,14 yd punt ret
Tyreek Hill,KC,WR,20.19,11,25 yd reception TD
Josh Adams,PHI,RB,20.17,11,28 yd rush TD
D.J. Moore,CAR,WR,20.15,11,82 yd reception
Brandin Cooks,LAR,WR,20.15,11,30 yd reception
T.J. Logan,ARI,RB,20.09,11,32 yd kickoff ret
Odell Beckham,NYG,WR,20.03,11,11 yd rush
Chester Rogers,IND,WR,19.98,11,51 yd punt ret *
Matt Breida,SF,RB,22.09,12,33 yd rush
Phillip Lindsay,DEN,RB,21.91,12,32 yd rush
Curtis Samuel,CAR,WR,21.56,12,25 yd rush
Vernon Davis,WAS,TE,21.44,12,53 yd reception TD
Calvin Ridley,ATL,WR,21.29,12,50 yd reception
Christian McCaffrey,CAR,RB,21.27,12,59 yd rush
Robert Foster,BUF,WR,21.11,12,75 yd reception TD
